UUID,Name,Points
1ea2c13e-0b6f-47ea-a771-88dd42a051bb,Alice Johnson,1102
637e448a-1a8d-4a21-a8fc-b17f8acaf514,Alice Jones,597
0ce6f4cb-5bfa-4fa2-a8b7-aedf525cc58d,Chris Jones,550
bd1e52db-ef2a-4891-b914-bde43a50c2e1,Bob Davis,356
bcff9eef-293f-4e15-af04-582c0fd88b65,Jane Davis,586
607d946f-939f-4d36-a022-30145bd3b9e3,Daniel Brown,712
4f0a5dbf-ffd3-46eb-abeb-be97865dd981,John Smith,54
0c73442f-4fb1-47d9-bff6-6607030360ad,Olivia Brown,225
29e72454-1f34-40ee-8348-d9ca3fe4f92e,Chris Martinez,490
c8a5338b-ea8a-480f-bc2a-1153384bca4c,John Smith,1029
cc921ddc-cf5f-44ca-ae30-0cad94b37261,Chris Smith,1465
eb6a270d-1d44-4d39-9f08-f09eb8793635,Olivia Taylor,897
26522294-900e-42bf-bbfa-02dfb23275b1,Jane Martinez,1087
aedd3323-f61a-431d-add1-49dd70be18c1,Alice Williams,593
63082b82-5945-4806-a21c-667c17efe610,Bob Jones,102
af42b59d-83b1-4f77-b160-5d4bdcc61c21,Bob Williams,542
682b2848-a9f3-4550-a1c1-193a53788dd7,Sophie Davis,1098
90faec1d-68a0-45e2-b84c-d7e7e6b3d67b,Bob Garcia,400
3707e349-c162-4762-91ce-f69b5d9b8246,John Williams,703
d3ecb30e-2747-485a-9b32-9f26a394dbd3,Olivia Jones,916
10091aeb-edee-4d42-b71f-c52453932f67,Michael Williams,1263
2b09857d-16dd-4bae-bb89-d1ed236757f3,Jane Johnson,1477
4d379c13-8ff5-4f01-a79f-40f389258159,Michael Johnson,1191
8239a173-0568-461d-9a4d-42894b7bd38e,John Brown,1183
b2f7e48a-54ad-4abf-85dd-b0acebc0d5a7,John Smith,548
5e4a99bb-4270-4b49-97f3-4a882521ba78,Alice Miller,1166
93d43e1b-6978-4b23-b10f-c03e15639268,Bob Smith,1018
28f07068-3113-4e6f-8804-10433543db35,Daniel Brown,1018
427e53be-a860-4a09-afda-a1d0c78873c5,Olivia Jones,1125
515c2f9e-7490-4f78-ba7f-65a037007467,John Smith,121
9f8bd598-cf20-4ff6-90c8-33b91d19131e,Chris Garcia,868
d433ef2f-b935-490a-b40a-07326c8b1bd5,John Jones,1119
9f8bd598-cf20-4ff6-90c8-33b91d19131e,Michael Jones,249
63082b82-5945-4806-a21c-667c17efe610,Sophie Martinez,311
fa4bd13a-f06c-4b37-8d62-837cac908477,Bob Smith,300
8d494bb8-ab02-41ce-935a-f56c35b7db73,Daniel Brown,1135
26260278-69cf-43b0-ba9c-a17272294101,Bob Miller,711
4c46aa46-a18c-4d4c-9ca3-3f227043d35e,Chris Johnson,730
4a9ccb38-0bbb-4d32-bd98-fd955125982d,Daniel Davis,205
9d964dc7-cb9e-49f2-b083-377edab8c1f1,Michael Brown,1281
b4651857-eccc-49ab-8fae-35d0d3c11905,Laura Brown,1185
bccd3655-cae0-49cb-b08a-15b010b17373,Olivia Davis,375
b71ae881-fcc3-40d5-a7fe-8e1c864c7157,Jane Davis,1058
135a04ee-91bf-4117-bd46-d6dcceeb4e29,Bob Davis,280
cbaf8b4e-5eef-4abe-840c-89c39f249bcd,John Garcia,808
6b9ea1ff-4a19-4ae9-8a93-af2e37cc983b,Michael Johnson,762
ce855550-0f7b-42cd-81a6-3c7a8c9edbb4,Alice Johnson,1430
2b09857d-16dd-4bae-bb89-d1ed236757f3,Daniel Garcia,1100
bcff9eef-293f-4e15-af04-582c0fd88b65,Jane Davis,959
11afe48d-92ae-4fdc-9367-0e17c1396e86,Bob Jones,1001
76bc04c5-24a3-44e0-9181-104b8db1396d,Jane Jones,749
bc9a01d3-cff3-4373-9b43-d2861af46bdd,Bob Brown,485
86d2bcf4-4853-4642-8092-44d18772df04,Jane Johnson,589
e8e872c6-35b6-4101-bd9a-bf1694a0b60b,Daniel Taylor,107
3ed24fc3-2532-4a2f-b4a3-8a33e3ba2a41,Bob Smith,901
4d379c13-8ff5-4f01-a79f-40f389258159,Bob Smith,180
14459963-98ec-4dc8-88c5-751b8b2debf9,Laura Davis,312
c8a5338b-ea8a-480f-bc2a-1153384bca4c,Daniel Miller,515
f1b16a63-e9ce-45dd-bded-eb6883e6c1e7,Michael Brown,902
8239a173-0568-461d-9a4d-42894b7bd38e,Laura Smith,1077
135a04ee-91bf-4117-bd46-d6dcceeb4e29,Michael Johnson,421
515c2f9e-7490-4f78-ba7f-65a037007467,Jane Miller,449
7ca252ff-e02b-4901-95e3-39e54c00dcbe,Sophie Martinez,290
93d43e1b-6978-4b23-b10f-c03e15639268,Olivia Brown,717
218e614e-e908-4832-8772-877fd841ba7f,Chris Davis,649
8d494bb8-ab02-41ce-935a-f56c35b7db73,Chris Garcia,1416
76bc04c5-24a3-44e0-9181-104b8db1396d,Sophie Smith,1391
5c3bc1b0-6f8f-4aaa-a328-6fd739ecb3b1,Jane Martinez,664
2a526c44-9f28-499e-b1d9-f5c6dec3805d,John Miller,429
86d2bcf4-4853-4642-8092-44d18772df04,Jane Johnson,370
7a925a5b-7ea8-4a68-93f2-1c7297620d60,John Garcia,378
b8e81989-5b71-43c4-806d-1fedff690fbf,Daniel Garcia,178
14459963-98ec-4dc8-88c5-751b8b2debf9,Olivia Jones,602
07d1af05-5441-4b8c-ac3d-8c80979efb7a,John Smith,1256
742b7106-2ef7-4b8a-bc75-58bdc0a9e795,Sophie Taylor,246
2d010f2b-320d-4124-8f89-5ea38f4f65cd,Alice Taylor,625
1be2efc4-9c26-4437-8900-7c15cbdd25e3,Sophie Garcia,1143
aedd3323-f61a-431d-add1-49dd70be18c1,Michael Davis,256
a56864d5-8f07-420c-a212-0936a097085f,Michael Williams,1107
1df5a35e-7c3b-477c-8ef4-c505368b0c39,Jane Davis,1005
57897abf-d086-4905-803c-30a5db60d85b,Bob Johnson,224
4a9ccb38-0bbb-4d32-bd98-fd955125982d,Olivia Garcia,516
56d41154-fb3b-42c7-9992-20b56c492ab7,Alice Davis,384
4d4a3258-d78f-47a4-9d9b-fe5e88cc73cc,Laura Martinez,372
4069f29f-6913-4408-bbe7-4892ff36ad49,Laura Martinez,1316
4ef8408a-7ecf-44bd-91a3-3bf52cd04261,Bob Smith,193
93d43e1b-6978-4b23-b10f-c03e15639268,Sophie Brown,727
3ed24fc3-2532-4a2f-b4a3-8a33e3ba2a41,Jane Brown,559
fd4e1004-bbb6-4187-bea3-d0a11300fe6f,Chris Brown,1093
9f8bd598-cf20-4ff6-90c8-33b91d19131e,Michael Martinez,1276
9279a3c4-936e-42cb-b52d-42d5fb2e7d6d,Sophie Williams,1287
1736f82f-2bc4-4604-abea-d0bd8d3fe4b1,John Smith,769
259076bf-7159-4d71-873e-3a801b8cdb8b,Daniel Johnson,1014
1be2efc4-9c26-4437-8900-7c15cbdd25e3,Daniel Johnson,291
2a3a889b-7942-429b-b2f9-430d7d6b616a,Jane Miller,424
9279a3c4-936e-42cb-b52d-42d5fb2e7d6d,Alice Williams,659
9e6bbfd6-2dc7-49fd-84ac-05a795c1b1f0,Michael Brown,983
b2f7e48a-54ad-4abf-85dd-b0acebc0d5a7,Chris Brown,1262
7e1a3986-e0b9-45a3-bb9c-5c9515eea669,Sophie Garcia,495
75d801ef-1469-4cb6-9a62-89c58869b5d2,Alice Garcia,1441
f2639172-0731-4013-a3e6-2559480f8980,Alice Williams,1220
03d8efda-8e29-4f41-a107-dfd37edd1555,Bob Martinez,457
3884451e-c03a-4c17-859b-cd5cefc71d92,Michael Jones,158
9ee925d6-60ce-4ecd-8aca-06762ed49ad8,Jane Johnson,605
57f1bc4d-2585-4580-b2b7-7fda15dd6c12,Olivia Taylor,469
2eae0e0a-9113-49c0-80a3-36ff5c878832,Daniel Jones,1240
135a04ee-91bf-4117-bd46-d6dcceeb4e29,Alice Martinez,602
7ff68204-f11f-44b2-b9d4-98ad3a0079ca,Sophie Smith,202
1337f6c2-d6fc-441a-925a-f6bdecf58417,Sophie Miller,1399
01999c30-13ab-443a-a6a4-b0b0a4a0e7e3,Michael Martinez,1280
eb0e1de7-9017-43df-b5fe-ba44597cef03,Jane Brown,1020
76bc04c5-24a3-44e0-9181-104b8db1396d,Laura Taylor,1202
ea0b10c9-0446-4a97-bac2-705f7f9cba0f,John Davis,1127
eb7065e8-f8a4-4be0-ae38-6ee79963c2f4,Chris Williams,1302
ad20c28b-98f0-4838-94e7-2574ae177361,Olivia Garcia,409
0f8fc5ec-2f49-4443-9e32-d6ba7db90e77,John Taylor,1202
56d41154-fb3b-42c7-9992-20b56c492ab7,Sophie Brown,65
b2f7e48a-54ad-4abf-85dd-b0acebc0d5a7,Daniel Garcia,55
e3126d03-8932-4088-aafa-584ac5ead242,Olivia Brown,977
97661352-a0c8-4167-9afa-463978ff162a,Laura Taylor,326
4d379c13-8ff5-4f01-a79f-40f389258159,Alice Martinez,1293
3eae2431-70b4-4e7f-85b7-53d149c9d12c,Alice Brown,1194
1ae7705a-bd61-40e2-b5af-3b62167443b9,Jane Davis,1048
e83e5578-2109-4be1-ae81-e1ff929bc4c2,Chris Williams,1099
ee02e294-fc65-494e-87e4-1497895e9342,Alice Smith,1018
682b2848-a9f3-4550-a1c1-193a53788dd7,Michael Davis,875
0631cd15-7d33-466b-987d-ee3d456fcc8c,Bob Brown,648
2b09857d-16dd-4bae-bb89-d1ed236757f3,Bob Brown,1036
515c2f9e-7490-4f78-ba7f-65a037007467,Laura Williams,392
ba8bd5d8-c35a-4adb-8689-e14614af14c6,Olivia Brown,880
10091aeb-edee-4d42-b71f-c52453932f67,Bob Davis,587
2b09857d-16dd-4bae-bb89-d1ed236757f3,Chris Jones,1296
7e1a3986-e0b9-45a3-bb9c-5c9515eea669,Alice Miller,639
cf00ec21-9c86-4dc2-80a1-bef85a520921,Bob Smith,1120
